STOCK_EVENT_TIME,PART_NO,CATEGORY,PUT_ON_SERIAL,REPLACE_SERIAL,EQP_NO,CHAMBER_NO,LAYER,PUT_ON_STATUS,REPLACE_STATUS,KIND,FAB,QTY
2015/11/4 17:41,85-ECT0010,GE,55C80MM-02011,54BF0MM-02011,EHT51,PM3,MX 1T,備品,備品,PM,P2,1
2015/11/4 19:25,85-EKA0270,GE,MII-064-0128,NONE1,EHA05,eMaxC,PV,備品,廠外清洗,PM,P1,1
2015/11/5 00:43,85-ECT0010,GE,53CA4MM-02011,53CA4MM-02011,EHT06,PM2,CIS 5E,clean,廠內清洗,PM,P1,1
2015/11/5 00:51,85-ECT0010,GE,54269MM-02011,54269MM-02011,EHT01,PM1,LCD 1C,clean,廠內清洗,TS,P1,1
2015/11/5 05:48,85-ECT0010,GE,53F61MM-02011,53F61MM-02011,ECT69,PM2,F68 1C,clean,廠內清洗,TS,P2,1
2015/11/5 07:55,85-ECT0010,GE,53385MM-02011,54BE2MM-02011,ECT65,PM1,1B,備品,備品,PM,P2,1
2015/11/5 18:10,85-EKA0190,GE,NULL,NULL,EKA03,eMaxA,1F,備品,廠外清洗,PM,P1,5
2015/11/5 18:10,85-EKA0270,GE,NULL,NULL,EKA03,eMaxA,1F,備品,廠外清洗,PM,P1,1
2015/11/5 20:55,85-ECT0010,GE,53CA4MM-02011,53CA4MM-02011,EHT06,PM2,JX 5E,clean,廠內清洗,TS,P1,1
2015/11/5 21:54,85-ECT0010,GE,54CS8MM-02011,55B84MM-02011,ECT12,PM1,LCD 1C,備品,備品,PM,P1,1
2015/11/5 23:22,85-ECT0010,GE,53F61MM-02011,53F61MM-02011,ECT69,PM2,F68 1C,clean,廠內清洗,TS,P2,1
2015/11/5 23:46,85-ECT0010,GE,53ET4MM-020Z1,53ET4MM-020Z1,ECT70,PM3,1F,clean,廠內清洗,PM,P2,1
2015/11/6 02:25,85-ECT0010,GE,55C76MM-02011,55C76MM-02011,ECT17,PM1,LCD 1C,clean,廠內清洗,PM,P1,1
2015/11/6 08:28,85-ECT0010,GE,53385MM-02011,53385MM-02011,ECT65,PM1,1B,clean,廠內清洗,TS,P2,1
2015/11/6 08:34,85-ECT0010,GE,54BE5MM-02011,53CB9MM-02011,ECT70,PM1,F68 1C,備品,待報廢,PM,P2,1
