PART_NO,EQP_NO,QTY,PM,TS,MFG_MONTH,Tool.MFG_MONTH,Tool.TOOL_ID,Tool.M_NUM,Tool.UP_TIME,Tool.C_UP_TIME,Tool.LOT_SIZE,Tool.C_LOT_SIZE,Tool.EQP_UTIL,Tool.C_EQP_UTIL,Tool.EQP_AVAIL_RATE,Tool.TC,Tool.PROCESS_TIME,Tool.PROCESS_JOBTIME,Tool.INLINE_CT_LOT,Tool.INLINE_CT_WAFER,Tool.MOVE_QTY,Tool.C_TC,Tool.ENG_LOT_RATE,Tool.HOT_LOT_RATE,Tool.BACKUP_BY_RATE,Tool.BACKUP_FOR_RATE,Tool.RWORK_LOT_RATE,Tool.QUE_LOT_RATE,Tool.SAMPLING_RATE,Tool.NUM_RECIPE,Tool.CHANGE_RECIPE
85-ECT0010,ECT15,5,5.0,0.0,202002,202002.0,ECT15,2.0,0.967839624,0.065681854,22.99411765,0.364057719,0.78033151,0.269979721,2.427121771,1.226983719,1.690128895,1.52303198,0.288303693,0.321472078,15636.0,0.537270343,0.034983372,0.0919033,0.0,0.0,0.001982604,0.918201586,0.0,40.0,0.873529412
85-ECT0010,ECT15,5,5.0,0.0,202003,202003.0,ECT15,2.0,0.959668561,0.054821484,23.03790614,0.487872781,0.821410135,0.267327055,2.412753623,1.205268893,1.676058454,1.513608857,0.344714446,0.363339379,25526.0,0.524111611,0.043720128,0.10314973,0.0,0.0,0.00211549,0.9300713,0.0,68.0,0.860108303
85-ECT0010,ECT15,5,5.0,0.0,202004,202004.0,ECT15,2.0,0.961973918,0.050147769,23.04659189,0.453084443,0.840875387,0.266329964,2.339534884,1.216023097,1.659202681,1.510986919,0.335744745,0.343780765,26711.0,0.507615641,0.039758901,0.098386433,0.0,0.0,0.003069896,0.932911535,0.0,82.0,0.890422778
85-ECT0010,ECT15,6,6.0,0.0,202005,202005.0,ECT15,2.0,0.961045506,0.048052932,22.76796537,0.421122536,0.833066518,0.269284142,1.923500612,1.205888114,1.664739732,1.516704576,0.316277526,0.33248484,26297.0,0.502756779,0.026580979,0.070046013,0.0,0.0,0.006882914,0.90348709,0.0,106.0,0.912554113
85-ECT0010,ECT15,6,6.0,0.0,202006,202006.0,ECT15,2.0,0.956923932,0.046978346,22.24549356,0.399014035,0.850109531,0.263030717,1.505147563,1.25237954,1.796782963,1.668088157,0.434176874,0.46768917,25916.0,0.447210271,0.022418583,0.079140299,0.0,0.0,0.014546998,0.869385708,0.0,144.0,0.929613734
85-ECT0010,ECT15,6,6.0,0.0,202007,202007.0,ECT15,2.0,0.951628051,0.046397724,21.77142857,0.381189398,0.882468889,0.252359802,1.495241332,1.429603023,1.870125009,1.755860148,0.605030426,0.654704858,26670.0,0.415133935,0.015973003,0.09816273,0.0,0.0,0.012410949,0.881177353,0.0,159.0,0.940408163
85-ECT0010,ECT15,6,6.0,0.0,202008,202008.0,ECT15,2.0,0.941597981,0.046273321,22.03020408,0.354873922,0.905098707,0.244422821,1.702754644,1.751846361,1.847633817,1.716789451,0.579992578,0.584102121,26987.0,0.452650297,0.018268055,0.091155001,0.0,0.0,0.006892207,0.931967243,0.0,155.0,0.913469388
85-ECT0010,ECT15,6,6.0,0.0,202009,202009.0,ECT15,2.0,0.951129507,0.045768407,21.94339623,0.337355773,0.879668387,0.2495705,1.889333333,2.088458476,1.858797778,1.736933333,0.515496242,0.483402853,26749.0,0.403605786,0.030842274,0.104489887,0.0,0.0,0.007252608,0.953867434,0.0,106.0,0.908121411
85-ECT0010,ECT15,5,5.0,0.0,202010,202010.0,ECT15,2.0,0.962313928,0.045282004,22.00249377,0.320079924,0.866572275,0.251660897,2.146817248,2.168753255,1.883687353,1.767684805,0.527644696,0.540965416,26468.5,0.3859107,0.037968945,0.103970683,0.0,0.0,0.004760286,0.967471382,0.0,91.0,0.919368246
85-ECT0010,ECT15,6,6.0,0.0,202011,202011.0,ECT15,2.0,0.96207109,0.045151307,22.36356003,0.301099353,0.90565488,0.238900189,2.296215881,2.250088889,1.869321064,1.6996128,0.533079975,0.559796675,26634.5,0.48693042,0.029998123,0.082560541,0.0,0.0,0.004129904,0.948451286,0.0,80.0,0.886649874
85-ECT0010,ECT15,6,6.0,0.0,202012,202012.0,ECT15,2.0,0.92549008,0.046590622,22.61917098,0.286056745,0.924104168,0.232740184,2.370736086,2.259335731,1.848497905,1.637924397,0.527799735,0.542542957,26193.0,0.506613449,0.026686519,0.061886764,0.0,0.0,0.007750162,0.912572061,0.0,81.0,0.832469775
85-ECT0010,ECT15,6,6.0,0.0,202101,202101.0,ECT15,2.0,0.916223978,0.047133191,22.87356322,0.27267727,0.928010817,0.231204603,2.449411765,2.260555556,1.855987582,1.626487908,0.489701178,0.495410434,25869.0,0.510705158,0.025550831,0.066679552,0.0,0.0,0.009586394,0.934286819,0.0,76.0,0.816976127
85-ECT0010,ECT15,6,6.0,0.0,202102,202102.0,ECT15,2.0,0.947796671,0.045969032,22.75511945,0.264932743,0.938839156,0.228599725,2.449519231,2.272574854,1.871182633,1.581775582,0.532834949,0.531720526,26668.0,0.520816287,0.01691102,0.067644081,0.0,0.0,0.004724587,0.95691627,0.0,78.0,0.802901024
85-ECT0010,ECT15,7,7.0,0.0,202103,202103.0,ECT15,2.0,0.935689862,0.046208169,22.67250438,0.257709798,0.935255477,0.229638964,2.647473561,2.279634181,1.955718436,1.668515146,0.526276922,0.527871803,25892.0,0.519817581,0.011432103,0.053916268,0.0,0.0,0.003939441,0.970299706,0.0,75.0,0.836252189
